uid,financial_application_rk,retro_date,logit_default,logit_grace03
514602,73977554,2015-12-17,,-0.864933
228011,65505833,2015-07-02,-3.695194,-0.939881
1717594,78160142,2016-03-14,-3.956738,-0.376486
1230474,60845308,2015-02-08,-2.637369,0.147179
1298571,66749785,2015-07-29,-2.194087,0.158528
623887,72507010,2015-11-13,-2.961008,-0.39341
2069738,67474772,2015-08-16,-3.759347,0.701527
2378452,72973163,2015-11-24,-1.030346,-1.34219
499835,65250622,2015-06-25,-2.385031,-1.251937
370857,75439661,2016-01-17,-3.115476,-0.590552
626476,71492200,2015-10-23,-3.674749,-1.124667
885671,62232716,2015-03-24,-2.24322,-1.194329
2401815,63909934,2015-05-15,-1.248832,-0.4293
921123,73807622,2015-12-13,-3.994876,0.582337
1454997,76950109,2016-02-17,-3.42059,-1.560212
1379102,63409239,2015-04-28,,-0.672092
67324,73314547,2015-12-02,-2.468525,-0.889799
993945,72012465,2015-11-03,-3.652364,-1.080766
2567860,73019803,2015-11-25,-3.401118,-1.06483
2068091,68764325,2015-09-13,-2.129762,-0.287239
901275,64530164,2015-06-04,,0.182815
1307279,73783936,2015-12-13,-3.579775,0.261159
1179086,73617934,2015-12-09,-4.769806,-0.713478
2008622,70703345,2015-10-06,-3.224736,0.082729
2058615,72966076,2015-11-24,-2.466618,-1.714505
1374469,62340983,2015-03-27,,-0.828207
899005,77785553,2016-03-06,,-0.688585
1374526,65516953,2015-07-02,-1.928727,-0.959498
112310,62081871,2015-03-19,-2.808554,-1.529547
2195316,66669492,2015-07-27,-1.773703,-1.881027
1145242,63992988,2015-05-18,-1.9437,-0.32659
1603171,67003474,2015-08-04,,-0.680985
2024187,60501553,2015-01-28,-2.697076,-1.402339
853962,75824486,2016-01-26,-3.384619,-0.894126
745613,67093089,2015-08-06,-2.038401,-0.065846
2476441,77042676,2016-02-19,-5.794481,1.641871
2284073,61239626,2015-02-17,-2.022544,-0.733735
1985305,65574774,2015-07-04,-3.550715,-0.716717
1727352,70017777,2015-09-24,-1.803003,-0.919296
1858757,64835707,2015-06-12,-1.918026,-0.280315
2293617,64805584,2015-06-12,-3.610869,0.004986
2079275,67616429,2015-08-19,-3.708654,0.113318
2364249,73242030,2015-11-30,-1.061182,-0.690642
1207757,63098593,2015-04-19,-2.022785,-1.81602
2588785,61689905,2015-03-05,-1.469525,-1.062818
311640,62752249,2015-04-09,-2.537661,-0.461795
1574591,74505382,2015-12-27,,-0.127392
641485,75037036,2016-01-09,-2.088502,-1.843947
1177894,68474116,2015-09-07,-1.449606,-0.927667
970692,75564541,2016-01-20,-3.558367,-1.023815
981620,74108309,2015-12-19,-4.8801,1.424072
1357250,62282714,2015-03-25,-2.152787,-1.633983
2286564,70688626,2015-10-06,0.676204,-0.301785
1371411,65523293,2015-07-02,-2.529891,-0.311736
1102002,72966240,2015-11-24,-4.251706,-0.604465
187628,64191868,2015-05-25,-5.213896,0.419962
1593891,69870727,2015-09-22,-0.880924,-0.157196
2049731,74496054,2015-12-27,-2.804433,-0.624255
2607398,65335732,2015-06-28,-1.923034,-1.085297
845276,62521151,2015-04-02,-0.770589,-1.316628
381943,65832668,2015-07-10,-2.484087,-1.037082
339862,60535873,2015-01-29,-2.298584,-1.014154
1065934,71263323,2015-10-18,-3.371445,-0.75094
2219904,62930880,2015-04-14,-2.995812,-0.337821
1072470,64466130,2015-06-02,-3.867304,1.863255
21795,73046477,2015-11-26,-2.120805,-1.529906
78121,62924868,2015-04-14,-1.693053,-1.035916
2547256,61245400,2015-02-17,-1.341355,-0.370656
2371521,65019003,2015-06-18,-2.209479,0.317587
550055,63663363,2015-05-07,-2.588494,-0.646747
2594182,67140077,2015-08-07,-1.625972,-1.280882
2026114,72784684,2015-11-19,,-1.023199
1644374,64747830,2015-06-11,,-1.33189
451909,60692185,2015-02-03,-2.309144,-0.813156
1024540,64853566,2015-06-13,-1.909901,-0.370656
793411,62083914,2015-03-19,-1.660082,-1.328491
118918,62659672,2015-04-06,-2.967096,-0.642253
920534,71077930,2015-10-14,-4.424852,-1.173837
1956163,65462682,2015-07-01,-2.575814,-1.263148
455104,66161352,2015-07-16,-2.74481,-0.8737
1758590,67577789,2015-08-18,-2.763282,-0.706265
751398,63357096,2015-04-26,-2.648023,-1.204324
1130734,60542876,2015-01-29,-2.024528,-0.363072
1546237,67810980,2015-08-23,-1.395857,-0.447615
1424577,61314429,2015-02-19,-2.607902,-0.427813
1772517,70580782,2015-10-04,-2.340766,-0.772389
1538201,63314592,2015-04-25,-2.280993,-2.340638
1068188,65363029,2015-06-29,-2.53512,0.06325
2152080,75175066,2016-01-12,-4.547401,-0.32417
996974,71129933,2015-10-15,-4.595119,2.846329
1352791,68141691,2015-08-31,-3.30677,0.28336
661640,64069854,2015-05-20,-2.335138,-0.360183
1025733,64656003,2015-06-08,-2.087463,-0.154289
1246285,64009171,2015-05-18,-2.597542,-0.057625
990103,74525770,2015-12-27,-3.170663,-1.895836
1754795,71088962,2015-10-14,,-1.430197
1044292,60645314,2015-02-02,-2.268653,-0.854151
251092,61881513,2015-03-12,-1.841432,-1.523555
714481,64410333,2015-06-01,-1.876568,-0.404848
553849,70511872,2015-10-02,-2.513556,-0.298342
1275946,66220421,2015-07-18,-2.811093,0.246175
1321339,60215179,2015-01-19,-1.636531,-0.370656
1714853,64494586,2015-06-03,-2.820391,-0.741522
630318,65712972,2015-07-08,-3.46057,0.305388
1956196,65621700,2015-07-05,-2.782048,-1.071111
473303,70880214,2015-10-10,-1.97694,0.059832
655680,64651847,2015-06-08,-1.586029,0.474453
140013,70577310,2015-10-04,-3.395401,-0.918862
2412344,63306285,2015-04-25,,-0.617116
2288708,68519122,2015-09-08,-3.024908,-0.902518
117040,72141103,2015-11-06,-2.780678,-1.122232
196484,65459022,2015-07-01,-2.470252,-1.00786
13076,60347608,2015-01-23,-1.823112,-1.204357
2389514,66201846,2015-07-17,,-0.198917
427245,67278983,2015-08-11,-3.452083,-0.979426
411175,68553437,2015-09-09,-2.805909,0.056469
2491895,68528628,2015-09-08,-4.347563,-0.325721
2596065,65021858,2015-06-18,-1.907364,-0.298768
2089850,66050197,2015-07-14,-2.535433,-0.518303
1793270,65683771,2015-07-07,-2.468086,-0.952511
391820,74854814,2016-01-04,-2.057778,-1.397501
2150513,66412827,2015-07-21,-0.790207,-1.029779
2468182,66383515,2015-07-20,,-0.433088
839082,67237949,2015-08-10,-2.419275,-0.949022
2003009,67050750,2015-08-05,-3.114644,-0.794205
637231,59952230,2015-01-12,-1.274343,-1.832149
509212,59926997,2015-01-12,-2.813255,-1.28641
529331,74291173,2015-12-23,-0.982702,-0.626427
2431166,66661055,2015-07-27,-1.658645,-1.485462
1325063,68898735,2015-09-15,-1.497486,-0.954123
510993,73076217,2015-11-26,-2.526742,-0.892055
24398,73576437,2015-12-08,-2.959104,-1.349634
2090124,75133431,2016-01-11,-0.420042,-0.770376
2240261,71346991,2015-10-20,-2.255864,-1.213791
2488338,64099674,2015-05-21,-2.121309,0.036468
236022,61545887,2015-02-28,-2.974711,0.398058
925819,60240166,2015-01-20,-3.152839,1.242006
2564204,64603379,2015-06-07,-3.459435,-0.368154
120714,68330993,2015-09-04,-2.112017,-0.912732
2478174,71092551,2015-10-14,,-0.120484
1760431,71537855,2015-10-24,,-0.624433
1344167,68748610,2015-09-13,,0.128304
1666711,69096773,2015-09-18,,-0.305197
1305428,73246278,2015-11-30,-2.592393,-0.869172
212397,69869269,2015-09-22,-2.490449,-1.422478
1582993,60495397,2015-01-28,-1.63471,-1.817423
2424437,77564779,2016-03-01,-1.499683,-0.131515
