uid,retro_date,financial_application_rk,partition,tcs_model_income
537800,2015-09-17,69051401,test,31465.458004666
537869,2015-09-30,70401532,train,63909.808301176
537878,2015-11-14,72551415,train,19019.413028
537898,2015-11-08,72238339,train,33847.835238505
537958,2015-09-04,68330468,train,31662.793570857
538013,2015-05-28,64304315,train,74161.179426
538065,2015-02-08,60848593,train,29896.801618
538073,2015-08-21,67733123,train,43576.301932
538132,2015-11-02,71968776,train,84756.240944
538141,2015-09-21,69813882,train,40855.02326598
538145,2015-08-05,67050765,train,38448.992626
538163,2015-11-02,71971091,train,23308.221028
538170,2015-07-28,66689043,train,15358.430028
538204,2015-11-25,73003169,train,39083.83054
538221,2015-09-30,70399249,train,41105.868652347
538239,2015-08-25,67875177,test,34906.262502486
538257,2015-10-19,71301852,train,132415.512078
538276,2015-11-23,72912775,train,106087.194157999
538291,2015-09-10,68595727,train,23578.895370455
538306,2016-02-10,76577291,out_of_time,18513.192028
538370,2015-02-20,61329723,train,49039.79101475
538371,2015-07-13,66009459,train,19432.798758015
538374,2015-09-20,69160937,train,22829.671028
538427,2015-04-13,62873675,train,21952.904725151
538461,2015-02-15,61181074,train,94282.44667326
538539,2015-08-13,67372019,train,24426.369894
538601,2015-05-14,63865094,train,46305.974088562
538619,2015-08-18,67577823,train,52926.453919999
538651,2015-07-13,65996118,train,33437.615330354
538674,2015-04-08,62725511,test,25876.583228
538684,2015-09-28,70233470,train,38679.83124
538698,2015-07-08,65711874,train,85739.809880744
538721,2015-11-07,72174811,train,33839.539641999
538764,2015-09-28,70252913,train,18372.29642
538771,2015-12-15,73873305,train,21195.44334
538810,2015-05-19,64013638,train,23061.01243
538832,2015-12-08,73553678,train,13852.450856177
538889,2015-06-09,64670448,train,97514.566006473
538892,2015-12-17,73984388,train,19157.715292
538896,2015-12-03,73371450,train,22156.955996567
538916,2015-04-19,63105414,train,47071.484634527
538955,2015-02-26,61492990,test,41301.581061443
538970,2015-02-15,61170003,train,35226.680759683
538980,2015-01-10,59856457,train,22901.30082097
539002,2015-11-19,72793380,test,17069.95334
539018,2016-01-12,75176346,out_of_time,32057.593972
539020,2015-03-05,61687922,train,26075.344296022
539022,2015-07-22,66446415,train,23562.995171255
539039,2015-07-18,66224083,test,16534.370719699
539107,2015-05-13,63828704,train,46797.696014
539114,2015-10-04,70580185,train,27732.98334
539217,2016-01-29,76024041,out_of_time,35836.084028
539220,2015-05-04,63570713,train,25769.148737111
539237,2015-02-24,61425012,test,37251.781014
539351,2015-08-10,67229140,test,31220.812990352
539370,2015-03-25,62266473,train,21827.848716264
539397,2015-08-23,67786363,test,52864.120064
539412,2015-05-04,63552638,test,29714.937082
539429,2015-07-28,66686419,train,21459.725486
539450,2015-08-21,67714053,test,50794.362578
539540,2015-06-22,65144052,train,35405.590768
539577,2015-07-30,66835276,test,25570.915208857
539578,2015-10-21,71382923,train,21657.434452
539776,2015-08-24,67839969,train,38736.378348
539814,2015-08-25,67875710,train,13093.484228
539830,2015-09-10,68596473,train,21550.964464
539849,2015-06-20,65085425,train,22668.67614
539852,2015-01-07,59784470,train,41581.03678346
539922,2015-12-26,74457313,train,33169.397990418
539997,2015-01-11,59909112,train,20624.050348
540027,2015-08-03,66973255,train,123512.222766
540062,2015-01-22,60303011,test,45459.964210838
540083,2015-04-17,63031916,train,32898.200131132
540089,2015-09-27,70171857,train,66932.45778733
540127,2016-02-22,77143512,out_of_time,21175.695561333
540135,2015-08-18,67559120,train,30881.127868442
540157,2015-03-23,62192736,train,26144.797279558
540230,2015-06-23,65188806,train,99652.235546418
540315,2016-02-17,76925281,out_of_time,24370.894207177
540357,2015-08-17,67500647,train,15664.571334329
540372,2015-10-14,71070701,train,10000.0
540403,2015-10-28,71700857,test,24348.47334
540419,2015-12-03,73361851,train,14749.513028
540499,2015-05-19,64017225,train,35831.413708031
540535,2015-05-15,63906885,train,54477.623288317
540604,2015-10-26,71621514,train,39571.698008701
540610,2015-09-30,70415544,train,25658.457562
540642,2015-10-13,71035304,train,39937.318744
540643,2015-09-24,70009128,train,39293.288067701
540719,2015-09-21,69810522,train,105899.203987999
540777,2015-02-13,61124909,train,19584.914028
540797,2015-10-24,71518787,train,23906.271481504
540822,2015-09-03,68286440,train,18416.68813
540840,2015-07-27,66660208,train,33556.395532
540884,2015-09-25,70060415,test,25263.431942936
540920,2015-06-27,65306181,train,11667.538028
540934,2015-05-12,63798517,train,19229.724192
540938,2016-01-08,74988714,out_of_time,20016.534952
540945,2015-06-27,65315193,train,18547.958191237
540946,2015-10-14,71071225,train,28679.576496
540981,2015-04-14,62913887,train,119445.30593
541029,2015-11-08,72216587,test,31422.596556
541042,2015-09-25,70060581,train,35803.07124
541061,2016-01-03,74806246,out_of_time,26613.5307085
541067,2015-06-08,64633216,train,175242.818587999
541097,2015-10-28,71705642,train,167735.785027999
541198,2015-02-28,61546952,train,56684.149341999
541216,2015-11-15,72572881,train,40060.031232
541225,2015-09-29,70354939,train,42441.291154
541272,2015-12-09,73600920,train,24981.890491191
541278,2016-03-07,77811502,out_of_time,28995.78913
541347,2015-11-07,72195254,train,35040.698487079
541371,2015-12-10,73661228,test,21034.563606
541404,2015-01-19,60196571,train,40786.833870788
541424,2015-06-17,64991336,test,25637.481191865
541479,2015-07-28,66685377,test,26696.731231555
541482,2015-07-19,66256084,train,42903.885225236
541533,2015-06-17,64990887,test,32850.037022334
541582,2015-12-20,74123408,train,35505.063028
541737,2015-08-18,67568121,test,27344.061983416
541758,2015-09-26,70141368,train,24672.680634366
541791,2015-09-25,70081309,train,40298.77004
541854,2015-02-26,61489895,train,69687.920977472
541907,2015-10-16,71170013,train,14127.73251
541941,2015-06-25,65253475,train,14056.544651546
541943,2015-04-23,63256856,train,130487.130308
541953,2015-10-02,70505106,test,17412.899756842
542004,2016-01-25,75781801,out_of_time,13564.03803
542012,2016-02-01,76135182,out_of_time,33575.704228
542082,2015-09-23,69949537,train,17305.014028
542249,2015-07-22,66434201,test,27045.183192994
542267,2015-05-02,63509016,train,69319.529454909
542277,2015-01-21,60280034,train,21867.265228
542320,2015-10-04,70593748,train,21013.20155
542330,2015-12-09,73600702,train,34977.071683483
542332,2015-12-16,73923727,train,17051.249891416
542333,2016-02-28,77419289,out_of_time,129275.088777999
542404,2015-10-18,71258428,test,27602.322810598
542415,2015-06-30,65444146,train,96681.834230231
542427,2015-12-07,73515232,test,65276.85227
542448,2015-09-11,68644572,train,35679.83124
542505,2015-11-16,72628147,train,43068.465149392
542527,2015-03-30,62431056,test,10000.0
542537,2015-03-11,61853545,train,12056.346854545
542555,2016-01-18,75454472,out_of_time,111409.563844137
542556,2015-09-22,69890007,train,25431.777384
542564,2016-02-27,77396162,out_of_time,47452.862476
542590,2015-09-18,69114934,train,33858.473378165
542614,2015-10-24,71537170,train,36467.469366218
542621,2015-04-01,62489121,train,86900.245773765
542624,2015-09-23,69938085,test,22121.799464
542641,2016-03-02,77609494,out_of_time,29655.314228
542660,2015-08-29,68039830,test,13781.517131448
542664,2015-04-17,63030698,train,32312.183006552
542665,2015-12-25,74406650,test,16355.76195
542711,2015-05-22,64113317,train,21461.80752825
542715,2015-10-21,71398442,train,21667.934192
542719,2015-06-14,64881847,train,21220.909952
542721,2015-11-30,73235335,test,39646.543339999
542769,2015-10-20,71338579,train,28239.319707704
542800,2016-01-29,76003960,out_of_time,69733.418996386
542821,2015-10-28,71723413,test,20909.510028
542925,2015-04-10,62800479,train,72405.059260868
542986,2015-05-04,63553176,train,24826.576742896
543010,2015-10-13,71032625,train,16686.866524965
543061,2015-11-12,72460169,train,22700.425028
543083,2015-11-29,73179701,train,28578.188339999
543105,2015-06-01,64416228,train,19762.930099307
543142,2016-01-15,75345569,out_of_time,34223.93124
543252,2015-09-10,68618461,train,54413.799475571
543263,2015-07-26,66621049,test,16987.187372449
543332,2015-04-07,62675203,train,79730.649994
543406,2015-07-19,66272472,test,35000.554509152
543446,2015-04-15,62952440,train,28922.634436
543475,2015-09-12,68686451,train,35702.249624974
543517,2015-10-22,71431219,train,31848.681004
543523,2015-07-31,66860032,train,35577.382465716
543535,2015-11-23,72913130,train,17319.244371412
543610,2015-05-12,63803432,train,141635.480312547
543638,2015-02-27,61523961,train,38783.281018548
543678,2015-10-02,70522704,test,26227.189592084
543779,2015-04-09,62750117,train,52202.082934
543810,2015-03-06,61719910,train,11479.778707857
543817,2015-07-14,66049368,train,31776.182794649
543915,2015-11-06,72134000,train,52315.174736704
543936,2015-09-18,69090242,train,13783.829028
543954,2015-08-30,68068942,train,14183.762054
543960,2015-11-10,72345029,train,30360.776253589
544014,2015-08-05,67039707,test,20891.508278454
544038,2015-05-05,63585556,train,10975.81515
544083,2015-10-30,71842392,test,122888.945841999
544119,2015-08-07,67129695,train,35990.672849287
544154,2015-02-18,61278894,train,23906.816134
544174,2015-11-28,73152531,train,42185.726638
544280,2015-11-12,72467116,train,41049.663544129
544302,2015-02-26,61496310,train,68937.364025297
544307,2015-01-19,60199545,test,17203.558028
544322,2015-05-16,63921612,train,45797.041639691
544404,2015-03-19,62079203,test,34055.108661792
544453,2015-11-03,72003052,train,39527.06670626
544466,2015-07-08,65713419,train,25658.807821127
544506,2015-08-06,67113368,test,61549.57604
544512,2015-08-07,67153941,train,21268.818786565
544524,2015-08-10,67239619,train,17357.766946
544546,2015-11-30,73225343,test,28337.187522485
544562,2015-10-13,71039754,train,30481.41624
544578,2015-08-14,67409368,test,35565.404076
544609,2015-08-02,66913183,test,81222.075082
544686,2015-07-30,66825976,train,10000.0
544690,2015-08-05,67051212,test,11695.56135
544728,2015-10-25,71574581,train,60370.194962
544792,2015-09-13,68740802,train,17195.993612
544813,2015-11-18,72718189,train,25241.905385755
544823,2015-06-21,65122986,test,86008.049180294
544902,2015-02-22,61387609,train,37119.665228
544904,2015-09-18,69103547,train,23472.96403986
544964,2015-08-05,67070126,test,26907.83124
544965,2015-05-19,64032699,train,58279.659922
544979,2015-09-03,68312224,train,73217.420028
545017,2015-09-10,68619776,train,44322.121217183
545030,2015-01-29,60522073,train,19399.70220931
545048,2015-05-13,63833408,train,25369.314428
545091,2015-06-23,65180691,train,103026.49124
545264,2015-12-05,73438223,train,60932.458160357
545268,2015-09-15,68911375,train,38443.42364
545297,2015-10-24,71525278,train,24906.74454677
545322,2015-09-27,70193181,train,23189.114428
545357,2015-02-11,60995186,train,146800.755027999
545362,2015-06-14,64898536,train,28197.063896
545415,2015-08-30,68083653,train,52034.520734
545451,2015-05-09,63734002,train,63594.772237075
545685,2016-01-20,75564656,out_of_time,34911.724659395
545707,2015-09-21,69801038,train,26527.390667999
545778,2015-07-21,66391589,train,23587.457545827
545798,2015-08-25,67878602,train,92092.971773318
545815,2015-03-04,61674678,train,36649.353149699
545832,2015-03-27,62337366,train,17356.089068
545869,2015-03-11,61855523,train,12878.839628
545975,2015-05-14,63880955,train,53540.283874
546002,2015-08-31,68147445,train,19271.229092
546018,2015-11-27,73115635,train,19731.664920943
546089,2015-12-14,73807829,train,43242.031859227
546113,2015-11-19,72790823,train,75495.844028
546115,2015-03-25,62267172,train,37983.087341464
546238,2015-01-13,59991370,train,30821.01512
546259,2015-07-09,65761737,train,94614.601674187
546271,2015-05-12,63803495,train,65727.156413496
546306,2015-08-03,66980951,train,29512.644845269
546319,2015-08-17,67513237,test,47085.880428
546418,2015-08-08,67169682,train,23666.729028
546450,2015-10-10,70893304,train,45436.342712931
546489,2015-07-11,65861644,train,102066.032803377
546531,2015-09-02,68235551,test,25029.853846181
546550,2015-08-14,67417195,train,12763.373302645
546702,2015-07-22,66462371,train,23988.978348
546727,2015-11-09,72285110,train,124106.398926
546735,2015-05-25,64196019,train,59443.019374
546736,2015-10-06,70704564,train,30947.904758
546784,2015-03-23,62195150,train,57521.227428
546792,2015-07-07,65682727,train,38690.889886616
546828,2015-08-25,67884864,train,63714.731262136
546888,2015-02-09,60884667,train,72370.383347766
546944,2015-10-22,71438544,train,50491.905136639
546985,2015-11-10,72341262,test,67155.298362
547068,2015-01-30,60567589,train,56833.505426
547093,2015-09-14,68786832,test,36145.318976
547130,2016-01-26,75842822,out_of_time,24194.298028
547161,2015-11-18,72746395,train,52889.64862542
547204,2015-11-11,72410666,test,31501.440548
547240,2015-07-30,66838236,train,41281.379347999
547267,2015-08-09,67218776,test,62911.902215999
547285,2015-08-25,67883532,train,35150.401486
547355,2016-01-14,75290931,out_of_time,13526.279491237
547414,2016-02-17,76926303,out_of_time,35240.615438971
547447,2015-11-22,72895751,test,19370.519028
547497,2015-09-05,68377127,train,24391.198348
547516,2015-11-01,71935289,train,32321.019954
547603,2015-05-11,63769469,train,43636.629028
547627,2015-08-24,67856984,train,26307.051946
547692,2015-01-14,60049509,train,83868.530236395
547770,2015-11-17,72685935,train,29051.138973142
547815,2015-07-16,66146235,train,33519.804074
547925,2015-11-27,73119400,train,29483.203304
547939,2016-01-22,75673557,out_of_time,35870.454224603
547955,2015-06-24,65218595,train,25537.679607243
547956,2015-07-17,66211887,test,94473.618307555
547980,2015-09-23,69951143,train,43232.11640749
547984,2015-04-07,62682332,test,41865.222551736
548005,2015-06-14,64887964,train,30858.133337077
548011,2016-01-05,74893110,out_of_time,23567.366826926
548023,2015-06-27,65318332,train,36266.612868658
548071,2015-10-28,71729094,train,18720.2753896
548072,2015-07-07,65677524,train,22966.732154
548074,2015-08-23,67806649,train,87979.406064586
548086,2015-08-28,68025013,train,27700.190054
548105,2015-08-25,67885008,test,51842.807359066
548170,2015-12-10,73655305,train,10000.0
548219,2015-09-23,69943938,train,82306.789622
548247,2015-06-15,64915897,test,37421.928406
548277,2015-05-21,64097621,train,11306.06585
548368,2015-07-29,66793657,train,58226.352709899
548387,2016-02-18,76988361,out_of_time,18633.705027999
548471,2015-09-30,70421234,train,75471.932180917
548476,2015-07-09,65771234,train,60790.116525607
548513,2015-09-13,68739702,train,10000.0
548525,2015-08-02,66924562,train,22447.88834
548550,2016-01-02,74790434,out_of_time,82402.998271991
548559,2015-12-10,73676130,train,15148.700028
548564,2015-11-05,72098576,train,50020.857496086
548565,2015-05-10,63743672,train,29165.018939655
548631,2015-01-07,59787208,train,18720.974674
548728,2015-01-25,60385838,test,44229.30081526
548785,2015-04-12,62860997,train,10000.0
548877,2015-05-01,63502866,test,31347.158028
548911,2015-08-02,66920957,train,76305.138027999
548988,2015-10-05,70640013,train,64461.125211298
548997,2015-11-27,73124157,train,11391.848763466
549052,2015-12-09,73595821,train,21813.82399
549063,2015-06-25,65267064,test,23606.089028
549122,2015-10-17,71235247,test,31671.423835793
549182,2015-11-09,72309641,train,59785.948431204
549223,2015-01-12,59949434,test,38538.282961818
549234,2015-06-09,64674599,train,42453.014263135
549260,2015-04-08,62716186,train,10639.073726539
549264,2015-09-13,68740428,train,126917.090425578
549272,2016-02-08,76481247,out_of_time,19027.949865587
549276,2015-11-22,72896626,train,53771.128866
549283,2015-09-01,68184984,train,42265.039216
549298,2015-07-27,66664432,train,47159.535464842
549378,2016-02-14,76788009,out_of_time,49673.008348
549463,2015-08-30,68081456,train,30215.331764356
549474,2015-05-11,63793208,train,34389.29834
549497,2015-06-07,64602034,train,32329.067456754
549532,2015-02-01,60626403,train,20615.062480921
549561,2015-04-06,62639712,train,45462.249628
549591,2015-09-28,70244461,train,27779.244942
549668,2015-05-20,64077137,test,19155.449028
549713,2015-12-19,74107558,train,51363.184923411
549740,2015-08-23,67783618,test,70918.885281018
549743,2015-09-26,70148644,train,29611.89834
549753,2015-03-18,62049017,train,50397.994028
549781,2015-10-29,71799342,train,43636.570568
549815,2015-11-19,72800450,train,29934.857741999
549903,2015-09-15,68910837,train,19644.022722
549908,2015-12-09,73604296,train,44596.886176936
549947,2015-05-08,63695788,test,13502.622936
549965,2015-01-21,60282380,train,17688.188480609
550010,2015-12-09,73601581,train,37699.856045864
550029,2015-08-16,67476724,train,27388.849512069
